 ,Other Rates Lower?,true,THIS IS BAD
 
Room Types,Other Rates,Roomkey Rates,Bad Rooms
Single,145,145,
     ,163,163,
     ,163,163,
     ,145,167,TCN:S200
     ,145,167,TTN:S200
     ,145,172,TCN:S400
     ,145,172,TTN:S400
     ,145,177,TTN:S600
     ,145,177,TCN:FFP
     ,145,177,TCN:S600
     ,177,177,
     ,190,190,
     ,196,196,
     ,196,196,
     ,145,200,TCN:S200B
     ,145,200,TTN:S200B
     ,145,205,TTN:S400B
     ,145,205,TCN:S400B
     ,208,208,
     ,208,208,
     ,145,209,TTN:S600B
     ,145,209,TCN:S600B
     ,145,209,TCN:FFPB
     ,145,213,TSN:S200
     ,145,213,TTS:S1000
     ,145,213,TSS:S200
     ,145,217,TSN:S400
     ,145,217,TSS:S400
     ,145,222,TSS:FFP
     ,145,222,TSN:S600
     ,145,222,TSS:S600
     ,145,222,TSN:FFP
     ,223,223,
     ,226,226,
     ,235,235,
     ,240,240,
     ,241,241,
     ,241,241,
     ,145,245,TSS:S200B
     ,145,245,TTS:S1000B
     ,145,245,TSN:S200B
     ,249,249,
     ,145,249,TRS:S1000
     ,249,249,
     ,145,250,TSS:S400B
     ,145,250,TSN:S400B
     ,145,254,TSS:S600B
     ,145,254,TSN:S600B
     ,145,254,TSS:FFPB
     ,145,254,TSN:FFPB
     ,145,258,TDS:S1000
     ,259,259,
     ,268,268,
     ,145,272,TRS:S2000
     ,145,281,TDS:S2000
     ,145,282,TRS:S1000B
     ,290,290,
     ,290,290,
     ,145,291,TDS:S1000B
     ,145,304,TRS:S2000B
     ,145,312,TPS:S1000
     ,145,313,TDS:S2000B
     ,317,317,
     ,317,317,
     ,322,322,
     ,145,335,TPS:S2000
     ,344,344,
     ,145,345,TPS:S1000B
     ,362,362,
     ,145,368,TPS:S2000B
     ,471,471,
     ,190,190,
Double,190,190,
     ,145,195,ERN:S200
     ,145,195,EBN:S200
     ,145,199,EBN:S400
     ,145,199,ERN:S400
     ,145,204,ERN:S600
     ,145,204,EBN:S600
     ,145,204,ERN:FFP
     ,145,204,EBN:FFP
     ,223,223,
     ,223,223,
     ,145,227,EBN:S200B
     ,145,227,ERN:S200B
     ,145,232,EBN:S400B
     ,145,232,ERN:S400B
     ,145,236,ERN:FFPB
     ,145,236,EBN:S600B
     ,145,236,EBN:FFPB
     ,145,236,ERN:S600B
     ,276,276,
     ,276,276,
     ,217,217,
     ,217,217,
Queen,226,226,
     ,145,249,DQS:S1000
     ,250,250,
     ,250,250,
     ,259,259,
     ,145,272,DQS:S2000
     ,145,282,DQS:S1000B
     ,145,304,DQS:S2000B
     ,330,330,
     ,330,330,
     ,335,335,
